view,iter,seconds
directional,0,0.0603
directional,1,0.0578
directional,2,0.0572
directional,3,0.0563
directional,4,0.0563
directional,5,0.0562
directional,6,0.0567
directional,7,0.0756
directional,8,0.0579
directional,9,0.0566
directional,10,0.0562
directional,11,0.0555
directional,12,0.0559
directional,13,0.0556
directional,14,0.0563
directional,15,0.0562
directional,16,0.0564
directional,17,0.0564
directional,18,0.0564
directional,19,0.0563
rv,0,0.1278
rv,1,0.1095
rv,2,0.1119
rv,3,0.1099
rv,4,0.1022
rv,5,0.1007
rv,6,0.1004
rv,7,0.1006
rv,8,0.1023
rv,9,0.1017
rv,10,0.1078
rv,11,0.1104
rv,12,0.1069
rv,13,0.1033
rv,14,0.1014
rv,15,0.1020
rv,16,0.1041
rv,17,0.1023
rv,18,0.1024
rv,19,0.1012
